SCHL,WAGP,FOD1P,OCCP,AGEP
11,,,,14
24,78000,6110,1020,45
24,92000,6102,350,46
9,,,,12
21,52000,6107,3255,30
18,0,,4700,35
19,0,,,45
19,14300,,4510,22
18,0,,,21
19,0,,,86
22,159000,2409,1530,46
22,70000,6102,3230,47
19,400,,4600,20
12,0,,,15
12,0,,,15
16,0,,,68
17,0,,,45
21,60000,3402,50,26
21,37000,2300,2340,65
19,45000,,9120,26
,,,,1
19,30000,,5820,50
13,0,,,16
16,29100,,5700,44
16,49900,,6530,43
16,1000,,4740,18
16,0,,,18
19,14900,,4220,20
21,73000,5301,3850,26
16,60000,,3850,59
9,0,,6260,38
16,0,,,77
19,30000,,6200,29
22,98000,5200,3110,29
22,0,2406,,83
16,22400,,5400,87
22,49900,6203,2200,51
22,0,6402,,74
18,0,,,82
16,0,,,81
6,27000,,6260,44
11,,,,12
9,,,,11
4,,,,9
2,,,,5
,,,,1
4,,,,8
16,29000,,4220,51
16,32000,,7210,54
19,40000,,5120,49
13,0,,,15
5,,,,8
19,0,,,70
16,0,,,74
11,0,,5810,49
1,,,,6
14,31200,,6440,62
16,29400,,800,68
22,0,5200,,81
19,0,,,84
19,28000,,2016,56
16,33000,,9000,65
24,0,5506,430,66
21,0,5507,,66
19,58000,,6230,47
1,0,,,39
13,0,,,17
10,,,,13
7,,,,9
18,0,,,55
22,0,6402,,84
22,0,2304,,82
16,0,,9300,36
21,0,5501,,65
19,0,,430,53
19,45000,,530,54
20,0,,,71
21,0,3700,,60
22,78000,6102,3230,56
14,3000,,4140,17
12,0,,,15
21,186000,6200,1220,64
21,18700,5501,2430,57
22,115000,2603,1107,57
21,0,3301,5330,54
21,0,6000,5700,23
13,0,,,16
16,23000,,3930,42
11,62000,,136,38
16,28100,,4020,18
11,,,,14
19,28000,,160,40
19,0,,9600,45
19,40000,,3500,46
16,60000,,9620,47
14,0,,,17
11,,,,14
19,0,,,78
15,0,,,78
18,8800,,2540,46
17,47000,,7630,45
7,,,,11
18,205000,,4710,53
16,45000,,5240,55
19,65000,,1460,50
20,65000,,1460,50
20,20000,,4850,24
23,415000,6201,2100,52
19,52000,,100,50
14,0,,,17
22,30000,3700,4800,35
8,,,,11
2,,,,4
18,8500,,5620,62
14,15000,,9130,65
16,45000,,310,58
21,0,3600,4350,36
21,90000,6203,220,42
1,,,,3
,,,,1
16,0,,5400,26
19,80000,,5520,40
4,,,,7
19,0,,,87
21,0,5200,,82
18,0,,9920,18
13,0,,4230,28
4,,,,8
4,,,,7
2,,,,6
1,,,,4
20,0,,,54
19,0,,4850,75
22,52000,2304,2300,63
21,0,2306,,61
20,40000,,6230,65
22,52000,2309,2040,56
20,43000,,3255,57
19,100000,,220,52
13,0,,,15
19,0,,,19
18,0,,,18
22,80000,2300,2340,46
19,45000,,3700,32
16,48000,,3700,41
8,,,,12
16,34000,,7340,54
16,0,,,94
18,41000,,5700,33
1,25000,,6260,28
,,,,1
21,129000,2102,710,47
21,44000,5501,5140,40
13,0,,9920,16
19,0,,,34
4,,,,7
2,,,,3
9,39600,,4250,38
9,0,,4230,37
7,,,,12
1,,,,5
22,79000,2307,2310,54
16,64000,,430,57
19,0,,4720,20
22,87000,6001,2310,60
24,101000,5003,5310,31
22,30000,5301,2810,55
21,0,2306,710,55
22,0,6107,,80
20,0,,4250,55
19,11000,,4720,47
13,0,,,16
7,,,,10
21,0,5506,4760,41
21,75000,6207,850,35
1,,,,5
,,,,2
12,,,,14
10,,,,13
19,36000,,7315,37
21,48000,2314,2310,33
21,98000,1902,1220,43
15,30000,,9620,48
16,23000,,5940,44
19,70000,,1050,47
16,6000,,4520,21
19,0,,4700,67
19,0,,,63
19,80000,,630,41
16,0,,7200,43
14,0,,,17
10,,,,13
7,,,,10
20,0,,800,54
20,40000,,9130,47
22,67000,6212,430,25
21,100000,6212,1006,47
22,0,2901,,35
16,0,,,75
11,0,,,74
16,19800,,5620,32
9,,,,12
6,,,,9
1,,,,4
21,12000,2414,5860,44
20,28500,,5700,26
1,,,,4
,,,,1
21,51000,6206,740,45
21,99000,4101,230,56
13,300,,4620,16
18,0,,5240,31
16,52000,,6260,35
3,,,,6
1,,,,5
,,,,0
16,35700,,4010,52
20,33400,,120,38
16,0,,,79
14,0,,,75
23,110000,4801,2100,48
22,58000,4801,430,45
13,200,,8610,16
11,,,,14
14,0,,,17
16,0,,,85
16,0,,,76
16,0,,5700,74
19,45000,,5700,30
23,415000,3601,3010,39
1,,,,4
1,,,,3
,,,,0
16,40000,,7330,64
16,0,,9640,61
7,,,,9
16,18000,,6440,44
19,44000,,5700,45
16,1000,,2060,19
13,15000,,8320,50
10,9000,,4000,56
21,30000,6201,800,26
18,1500,,4720,21
22,90000,2405,1530,35
19,46000,,420,35
,,,,2
16,0,,,94
19,71000,,4840,71
16,0,,,69
21,20000,2901,9140,79
22,48000,6402,2320,27
21,40000,5506,2340,34
22,50000,2306,2310,30
,,,,1
16,36400,,5510,22
20,32000,,430,24
18,48100,,10,68
16,117000,,430,62
14,0,,,79
18,0,,,53
24,0,6200,2100,87
16,4000,,4020,54
16,8400,,4030,62
23,120000,2414,1460,51
19,0,,5310,48
22,69000,1901,2330,58
21,415000,6201,800,48
20,0,,,52
10,,,,13
8,,,,12
14,40000,,6230,53
17,16000,,2340,51
21,12000,6002,2750,38
16,7000,,220,35
21,90000,2406,6200,68
21,0,6105,,67
21,150000,3301,4700,47
21,0,5501,,45
12,,,,14
10,,,,12
8,,,,10
16,0,,205,43
24,90000,5007,1320,62
22,0,2102,1107,57
21,0,5501,,94
16,0,,410,51
16,15000,,3600,52
1,0,,,73
18,13000,,4350,28
1,,,,4
16,64000,,4700,37
20,27500,,5260,35
2,,,,5
1,,,,4
13,450,,4020,16
16,40000,,8030,53
19,52000,,1965,54
16,72000,,2145,54
16,68000,,4850,26
19,0,,4510,25
18,50000,,9620,60
16,0,,,55
16,0,,9620,23
14,0,,,17
23,0,3202,,73
18,35600,,5600,74
21,30000,2201,6050,24
19,15000,,310,22
21,0,6200,,71
16,0,,,81
16,40000,,9120,50
20,40000,,5840,46
10,,,,13
19,3300,,3955,17
18,60000,,2145,38
19,20700,,4760,64
16,42000,,4610,35
16,8500,,8710,29
5,,,,8
1,,,,3
20,2700,,5400,30
20,0,,2300,64
21,0,5200,,39
10,,,,13
4,,,,7
2,,,,7
10,0,,9130,48
16,34600,,8140,44
18,36000,,2000,46
6,,,,9
22,150000,2102,1020,44
24,125000,2102,1005,50
11,,,,12
5,,,,9
19,0,,,72
21,0,5506,,78
22,150000,2412,430,45
20,30000,,3600,43
9,,,,11
8,,,,10
16,78000,,5700,68
22,68000,2304,2310,35
21,80000,1901,740,46
3,,,,6
,,,,2
12,26000,,7315,72
16,0,,,74
19,0,,4110,22
22,0,3600,205,68
21,0,5004,6230,63
21,100000,2404,1550,35
21,36000,6402,430,32
,,,,0
22,60000,3301,2850,44
13,0,,,16
22,0,6402,2850,65
21,66000,6107,3255,49
19,0,,9920,50
16,1600,,4000,20
1,0,,,75
12,0,,,86
19,38000,,4850,64
21,100000,6212,5000,41
13,0,,6460,38
16,10400,,4220,42
1,,,,4
24,0,5200,,66
22,0,3600,5700,63
20,67000,,3740,48
19,55000,,5560,49
11,,,,14
16,5000,,4250,79
16,5000,,4250,76
9,20400,,4220,37
11,0,,,30
1,,,,3
8,,,,11
7,20400,,4220,42
14,20400,,4230,31
23,20400,6203,4230,32
7,16800,,9610,28
23,40000,2400,1340,33
16,40000,,7315,24
20,0,,,66
22,48000,6203,5700,62
20,0,,,64
14,0,,,66
17,12400,,5620,46
11,26000,,6420,45
16,8000,,4110,18
,,,,0
23,52000,6201,430,31
22,35000,6203,740,31
21,28000,2408,430,38
20,86000,,430,50
12,0,,,15
10,,,,13
16,45400,,5700,41
21,415000,6200,3060,60
21,0,6108,,60
20,0,,,94
16,12700,,4220,48
9,,,,12
16,0,,,38
21,25500,2603,5000,48
18,100000,,4760,60
16,12000,,2540,45
17,0,,6660,55
14,500,,4760,17
16,96000,,6700,49
21,42000,2310,2310,46
19,29000,,4850,23
9,,,,13
8,,,,12
7,,,,10
18,60000,,7940,30
16,0,,,73
21,0,6211,2330,35
21,89000,2102,1006,39
2,,,,5
1,,,,3
,,,,0
16,0,,,78
16,0,,,78
22,91000,5501,740,45
22,139000,3700,1060,45
19,0,,,83
21,0,6203,,64
19,15000,,4510,20
20,7000,,4700,22
17,28000,,9130,25
21,30000,1901,3930,24
24,170000,3700,1240,62
23,42500,2314,10,59
21,75000,5506,4465,39
21,0,3700,,38
4,,,,7
1,,,,4
,,,,2
,,,,0
21,97000,6203,1020,57
16,45000,,9130,30
16,0,,,75
16,20000,,3649,31
9,,,,12
20,67000,,6355,26
,,,,0
21,34300,6203,5860,24
19,55000,,9620,52
16,0,,,45
14,0,,,17
12,0,,,15
22,92000,2102,1060,41
21,0,6000,,31
2,,,,4
,,,,2
13,0,,,78
16,0,,,75
19,0,,,59
11,0,,,15
19,0,,,71
17,0,,,38
23,415000,6002,430,56
22,0,6002,2750,55
21,0,4801,2340,26
23,12000,3600,3060,30
21,110000,2408,1530,31
,,,,1
22,0,5200,,76
21,0,3700,1200,80
22,53000,6402,2310,41
16,0,,,81
18,0,,,75
15,0,,,74
23,200000,4007,2100,44
23,70000,5506,2100,43
9,,,,12
7,,,,11
4,,,,8
,,,,0
19,0,,5240,37
16,60000,,7200,49
16,1000,,4600,17
10,,,,13
9,,,,12
3,,,,6
16,48000,,5700,71
18,30000,,5120,48
12,0,,,15
16,45000,,2340,38
22,75000,2306,2330,39
22,65000,5098,2310,30
16,0,,4600,46
23,0,6201,5510,47
12,,,,14
10,,,,12
8,,,,10
7,,,,10
24,3500,6402,2000,62
20,0,,,55
12,0,,,41
22,107000,5007,430,45
16,0,,,46
4,,,,7
21,108000,5507,1006,55
21,108000,5501,1010,58
23,160000,5003,3060,64
21,48000,5200,2310,63
19,77000,,10,77
16,0,,,73
18,83000,,1007,47
16,0,,4720,23
12,41100,,4720,20
20,37000,,3255,51
21,0,5004,,52
12,,,,14
18,12000,,1550,47
14,7300,,4760,26
10,,,,12
16,0,,4020,46
17,4000,,4110,19
16,4800,,9830,22
22,0,6203,1840,68
21,0,6103,5700,55
3,,,,5
22,90000,5501,1107,45
21,102000,6206,630,46
20,0,,,46
6,,,,11
4,,,,8
19,0,,3850,47
16,31000,,4810,48
16,0,,9920,18
12,0,,,15
21,60000,2300,2310,61
16,50000,,8255,67
18,15000,,9620,26
21,50000,3301,2840,33
2,,,,5
2,,,,3
20,3800,,630,54
21,0,6002,4720,28
21,50000,6105,530,55
20,28300,,9350,61
22,40000,5003,5700,56
23,90000,3501,2430,62
16,0,,,74
16,11000,,5820,47
13,0,,,15
21,90000,5601,220,32
20,0,,,30
1,,,,5
1,,,,3
1,,,,3
12,0,,,15
21,124000,2500,110,43
22,50000,6203,4700,29
19,16500,,4720,27
21,0,5098,3540,65
16,20000,,8320,56
12,40000,,4220,45
7,35000,,8800,43
19,10000,,4800,25
18,0,,4410,23
19,30000,,5120,21
19,4000,,4420,18
13,0,,,15
14,0,,,51
18,65000,,5260,37
21,48000,5404,2340,36
13,0,,,15
10,,,,12
22,67000,2306,2310,56
16,87000,,120,51
19,3100,,5420,20
21,0,2304,2310,63
16,5600,,5620,35
19,42000,,1340,60
15,27000,,3600,50
16,12000,,4720,24
1,,,,3
21,20000,4901,4610,43
24,15000,2313,4610,42
,,,,1
20,45000,,4465,30
20,32000,,4465,23
13,0,,,55
12,33000,,4220,48
21,15000,2402,430,22
21,50000,1902,50,28
21,40000,5200,3600,27
,,,,0
16,9000,,4250,25
21,50000,2407,5700,26
,,,,2
,,,,0
9,9000,,8330,22
23,9000,5007,4250,45
21,15000,5506,9610,42
11,39000,,6300,40
6,9000,,6440,39
4,3400,,4220,38
22,39900,2304,50,36
9,9000,,4250,30
18,310,,4110,18
24,117000,5002,1020,48
19,14700,,2700,47
15,0,,,82
16,0,,,58
19,0,,9620,56
19,63000,,4700,41
21,25700,3600,4350,36
5,,,,8
,,,,1
19,0,,,74
21,54000,3401,2310,34
19,23100,,5620,37
17,37000,,5700,51
1,0,,,80
16,46000,,5700,66
16,0,,,72
17,0,,,70
20,0,,,55
22,50000,2102,1010,52
21,22000,3700,4200,66
16,0,,,66
10,25000,,4230,40
16,42000,,4250,41
17,8000,,4760,21
18,0,,,58
14,0,,4940,52
16,0,,205,49
19,12300,,4110,45
14,0,,,17
12,0,,,15
7,,,,11
3,,,,6
1,,,,4
16,13400,,7750,63
16,5000,,2540,62
19,64000,,7140,47
21,0,2304,4700,43
12,0,,,15
12,0,,,15
24,150000,5007,1760,63
22,95000,3301,2320,62
12,0,,6355,56
16,14300,,5700,60
16,25700,,9110,28
8,,,,10
16,20800,,9130,33
1,,,,3
11,16000,,4465,79
19,14000,,20,44
,,,,1
17,0,,4720,22
16,0,,4760,51
16,24000,,5240,20
16,0,,6050,74
11,4400,,4020,48
19,101000,,430,50
19,13500,,2310,40
19,100000,,4840,40
9,,,,12
4,,,,7
19,37000,,4700,36
14,0,,4600,17
8,,,,12
4,,,,9
13,35000,,8965,47
22,415000,3700,430,62
22,0,3301,,63
21,0,6000,2340,62
18,0,,,54
22,129000,2400,430,53
21,6900,6206,5400,52
20,13600,,4110,21
14,1100,,4420,18
19,12000,,9830,20
22,0,6000,4940,64
16,0,,,81
21,30000,1901,40,41
7,,,,10
7,,,,10
21,44500,6203,4760,50
18,100000,,4700,59
24,0,4901,,66
11,26000,,8450,35
6,0,,,27
,,,,2
,,,,0
17,0,,6330,24
18,7300,,4720,20
19,21000,,5820,24
3,,,,4
,,,,0
18,75000,,540,49
19,20000,,5700,45
6,,,,9
18,50000,,410,63
16,0,,,82
22,169000,5506,430,55
21,0,2602,,56
21,45000,6004,2630,27
16,0,,,83
16,0,,2540,64
19,1500,,4720,21
14,0,,4250,17
13,0,,5260,16
11,,,,14
5,,,,9
21,43000,2100,5000,30
16,0,,,73
16,0,,,71
19,0,,,66
22,85000,6203,710,68
19,50000,,2550,31
20,30000,,3255,29
2,,,,5
,,,,2
16,10000,,6260,35
23,90000,3301,2105,40
21,5700,5301,1006,44
20,100000,,7750,54
23,43000,5506,1760,54
16,0,,9620,18
14,0,,,17
10,,,,14
15,23000,,310,63
24,0,3402,,84
19,52000,,5700,47
18,0,,,85
19,11000,,5860,65
20,0,,,71
18,0,,,73
18,50000,,4850,34
18,0,,,35
4,,,,7
2,,,,6
,,,,2
19,6000,,2750,63
19,126000,,120,53
19,60000,,10,63
20,65000,,5120,57
16,48100,,4700,52
16,15800,,4020,53
20,2600,,4720,20
11,30700,,4120,56
19,20400,,3600,28
16,0,,,73
16,34300,,5500,41
24,0,3600,2310,71
16,0,,,67
17,0,,9620,27
19,30000,,4800,46
22,83000,6203,7000,42
19,9600,,9820,21
19,0,,3500,36
19,25000,,9620,41
1,,,,4
,,,,1
20,150000,,10,43
21,50000,3700,800,41
21,42300,5503,3850,24
21,31000,1901,4110,23
19,0,,6100,62
16,0,,,61
21,24000,3700,4760,52
11,,,,14
6,,,,9
20,70000,,3255,29
18,48000,,3800,34
5,,,,9
2,,,,5
1,,,,4
1,0,,,58
20,72000,,220,57
22,70000,2300,2310,55
21,15000,2901,4320,27
19,4200,,4600,22
15,14000,,4040,41
9,,,,12
2,,,,5
,,,,2
21,125000,1501,1220,37
16,5000,,3320,38
,,,,2
,,,,1
19,0,,,48
21,0,2314,,88
13,0,,,64
16,80000,,1920,48
16,71000,,2010,46
13,25000,,4230,62
13,0,,6200,59
21,9600,5503,4965,23
15,0,,,61
20,48000,,5700,46
13,26000,,2850,53
16,0,,5600,27
18,600,,4720,21
11,0,,,15
4,,,,8
1,20000,,4030,29
20,89000,,3300,55
16,33300,,8220,56
19,2000,,9620,22
21,39000,5507,500,25
18,85000,,430,43
14,0,,,58
16,0,,1020,62
16,50000,,5700,42
5,,,,7
14,12800,,4230,48
11,49000,,6730,49
14,0,,,30
2,,,,5
2,,,,4
2,,,,4
14,0,,6730,29
22,67000,6203,1105,35
19,27500,,5700,30
5,,,,8
,,,,0
5,,,,9
21,14400,6211,5300,33
21,23200,6201,4110,39
,,,,0
21,2000,4901,9130,49
16,0,,9920,37
11,0,,,15
10,,,,14
3,,,,7
21,73000,5501,4850,36
15,78000,,6200,55
18,3500,,4430,19
16,35000,,5700,48
18,29900,,7630,74
23,62000,5200,150,35
8,0,,,62
19,0,,5810,53
13,6000,,5820,16
19,0,,,89
19,0,,,89
19,0,,,86
18,60000,,430,51
18,71000,,4710,45
17,6400,,4220,50
14,0,,,19
19,15000,,940,55
12,0,,,34
21,80000,2406,1360,31
21,125000,6107,3255,59
16,31000,,5860,42
18,68000,,1550,47
15,0,,,74
16,0,,,73
16,10000,,4720,57
18,38000,,9720,57
17,0,,3600,70
13,10000,,9130,37
17,0,,9620,35
13,0,,,15
20,28000,,5700,29
16,75000,,520,40
21,140000,2102,2145,52
16,22900,,3730,73
16,0,,,90
1,0,,,84
21,110000,6203,1520,50
21,600,6000,2320,51
14,500,,3648,17
5,,,,9
21,80000,6201,710,64
21,80000,2400,1020,62
23,18000,3600,5940,55
23,225000,5599,20,54
19,7500,,4110,21
15,700,,2340,17
12,0,,,15
19,124000,,3910,46
18,54000,,1550,36
14,10000,,3955,17
13,0,,,15
11,,,,14
10,,,,13
8,,,,12
16,62000,,4850,46
20,59000,,1030,46
14,0,,,16
14,0,,9620,27
21,85000,6210,850,32
21,30000,5501,850,34
21,100000,6212,1020,49
17,0,,,31
21,1400,6002,230,46
17,48000,,4700,37
13,0,,9920,17
12,0,,,15
11,,,,14
16,10200,,4230,55
17,24000,,5620,34
11,0,,940,50
14,35000,,3600,30
8,,,,11
5,,,,8
1,,,,4
16,0,,,56
20,34400,,565,44
14,0,,9620,17
22,55000,2304,2310,27
19,40000,,3640,35
21,40000,1904,120,41
8,,,,10
6,,,,8
18,0,,4600,46
14,69000,,9410,46
11,0,,,66
21,92000,2401,2160,47
19,52000,,5700,46
16,5800,,4030,19
12,0,,,15
16,40000,,9120,51
19,55000,,820,48
11,,,,13
22,27600,2304,5240,56
18,95000,,1020,42
14,50000,,3420,52
23,0,5506,2100,57
21,0,1902,2850,66
16,39000,,9130,60
16,0,,530,54
19,48000,,7140,28
16,28000,,5520,22
19,0,,9920,49
16,30000,,5530,54
16,27000,,3930,50
18,3000,,4110,26
19,66000,,150,46
16,0,,5700,69
20,42200,,3255,70
21,25000,1501,710,47
19,6300,,5000,69
12,0,,,86
20,0,,,76
23,120000,3603,3060,30
16,0,,,65
19,63000,,3930,58
13,0,,,27
24,0,5501,,75
21,0,5200,,64
23,12000,3611,3250,27
20,40000,,4020,33
21,8900,6105,3300,33
1,,,,3
16,80000,,8600,50
16,15000,,9120,47
11,,,,14
22,0,2414,2825,37
22,87000,3600,3110,38
2,,,,5
,,,,1
16,10200,,4220,43
8,,,,12
18,0,,,72
16,0,,4350,25
16,3000,,9620,26
,,,,0
16,0,,4250,49
22,68000,3600,3255,50
12,0,,,15
22,90000,6206,1050,46
18,0,,,18
22,130000,2408,1410,51
23,415000,5003,3060,45
11,,,,13
7,,,,9
10,0,,,62
20,0,,5000,58
21,90000,6103,3255,31
1,0,,,66
1,,,,3
18,0,,6355,36
18,0,,7430,50
14,27000,,3600,39
16,50000,,4000,41
10,0,,,15
6,,,,9
16,0,,,67
15,0,,,73
19,4500,,5860,19
19,220000,,10,50
21,0,6206,,49
12,0,,,16
10,,,,14
7,,,,11
19,0,,,89
16,0,,,85
19,40000,,3645,52
21,138000,5506,430,37
16,19000,,4220,48
16,9000,,8310,40
16,62000,,8640,43
20,45000,,4800,45
16,3000,,4720,18
21,28000,6107,2010,35
11,,,,13
15,0,,4720,72
16,15000,,4130,40
13,0,,,61
21,104000,5200,20,45
18,0,,2300,35
,,,,1
,,,,1
16,65000,,5510,35
12,0,,,15
1,,,,4
20,80000,,3220,46
16,55000,,7220,47
21,25000,6203,800,43
19,0,,,65
20,68000,,3310,62
24,0,5200,,67
21,0,3301,,64
16,40000,,4710,66
16,0,,,65
16,0,,4110,42
13,0,,,45
16,0,,,18
8,25000,,9130,54
11,0,,,78
16,58000,,4220,49
22,67000,2304,2310,41
7,,,,11
7,,,,10
22,100000,2309,150,53
21,101000,2400,1530,53
12,0,,,15
10,,,,13
16,21000,,4140,47
16,14000,,4050,46
16,0,,,67
19,15000,,6260,49
19,0,,,43
14,0,,,17
13,0,,,16
23,100000,3301,2100,57
23,415000,6107,2100,47
4,,,,8
9,20000,,6230,27
16,37000,,6230,23
12,0,,,35
7,20800,,4250,22
1,,,,4
18,16000,,520,74
19,12000,,4840,77
16,0,,,68
22,126000,6201,800,39
24,122000,5506,1860,37
,,,,1
21,75000,2414,1530,28
16,15500,,5400,67
23,127000,5507,120,59
21,0,3302,4030,25
19,60000,,4700,25
18,0,,4700,35
16,800,,4250,26
23,99000,3700,3060,50
23,135000,2408,430,51
12,0,,,15
5,,,,8
18,24000,,4640,48
19,45000,,3800,45
19,5100,,4720,21
22,0,2310,2340,57
21,0,5200,5860,58
16,0,,,86
24,95000,4002,3030,56
22,0,1302,9140,56
14,0,,,17
21,18000,6200,5120,69
19,0,,4760,65
20,44200,,1107,32
21,12000,5200,4110,22
21,35000,6203,8740,23
20,75000,,6520,51
16,72000,,350,47
16,0,,,84
21,3800,6201,410,66
19,20800,,4250,35
22,45000,5301,3820,25
14,0,,4760,29
24,51000,3600,1760,31
23,45000,3301,2100,31
14,15600,,4230,47
14,20800,,5240,55
21,62000,6107,3255,26
16,63000,,9130,26
16,45000,,6230,40
16,10000,,4250,35
16,4800,,9620,35
19,9000,,4030,50
21,9000,5506,4030,45
16,20800,,4250,37
12,8100,,6230,22
19,93000,,1105,47
12,0,,4950,28
1,,,,3
,,,,0
21,177000,2102,430,39
21,0,6007,,37
8,,,,11
6,,,,9
2,,,,5
20,55000,,9120,58
16,45000,,6320,58
16,0,,9120,61
11,0,,,71
23,112000,6107,3060,52
21,3000,6206,710,51
16,0,,,79
21,57000,6203,800,45
21,0,2105,4800,43
19,49500,,4800,45
2,,,,5
2,,,,3
,,,,1
21,415000,5501,50,48
16,415000,,4850,58
15,320,,4140,17
19,68000,,3740,28
20,200,,4600,31
3,,,,6
1,,,,3
,,,,1
19,15000,,4720,68
17,60000,,3930,60
20,20000,,5520,34
21,0,6103,,47
24,16000,6100,3110,47
14,0,,,18
13,0,,,16
8,,,,12
22,60000,5203,1820,41
6,,,,10
3,,,,6
14,0,,,44
16,1200,,7750,65
24,104000,6206,1860,58
19,30000,,5120,49
16,8000,,4760,28
19,0,,4720,20
13,0,,,16
5,,,,8
13,20000,,7700,54
22,80000,2408,1010,46
19,23000,,9620,48
21,66000,2300,6200,57
21,9100,3501,7315,62
17,0,,,42
21,45000,2105,740,34
21,35000,2105,740,30
7,,,,10
19,0,,,76
18,0,,,74
16,24500,,5860,62
16,44600,,6420,61
16,38000,,5700,33
4,,,,7
22,0,2417,,76
18,0,,,72
18,48000,,5000,58
11,0,,,62
23,415000,3301,3060,53
14,1000,,4620,17
12,0,,,15
21,108000,6107,3255,37
19,24000,,3535,31
19,0,,,90
20,0,,4700,44
13,0,,,70
15,0,,,70
18,55000,,700,36
20,10000,,9140,67
15,0,,,63
19,28000,,4750,44
24,170000,3700,1760,49
21,15000,2304,726,48
19,10000,,4040,21
19,9400,,3600,19
14,0,,,16
16,0,,6230,54
20,30000,,3600,50
16,0,,4620,19
19,41000,,5810,49
19,113000,,7700,53
18,0,,,50
16,5000,,4700,19
16,53000,,5530,30
16,39000,,5700,38
1,,,,3
21,60000,5507,7020,58
21,81000,5200,4710,55
19,29000,,4200,32
22,55000,5502,725,33
16,0,,,79
21,0,6200,,49
21,23500,6200,230,49
21,4000,2400,1530,22
18,3000,,4110,19
21,0,3301,,81
16,0,,,80
21,0,2309,,67
21,0,6107,,66
19,1200,,5240,34
19,60000,,220,40
21,0,1501,2830,39
7,,,,10
5,,,,9
3,,,,6
22,69000,5507,420,60
16,0,,9130,56
22,151000,5004,1530,52
18,33500,,800,59
18,690,,3955,18
22,0,2408,6420,64
20,0,,,82
16,42000,,5000,63
18,51000,,540,32
16,10000,,4510,27
5,,,,8
1,,,,4
23,135000,5500,740,63
23,65000,6107,350,63
17,1000,,4600,21
19,110000,,430,47
19,39000,,310,40
18,105000,,220,46
16,0,,,74
16,0,,,72
21,0,4901,,81
20,38000,,7340,53
21,65000,5301,2015,53
14,0,,,18
19,0,,4350,83
16,7200,,9140,80
21,30000,6206,4920,23
,,,,2
19,65000,,430,42
21,67000,6107,3255,31
16,25000,,4760,30
21,40000,5506,2145,27
21,27000,6206,5810,24
19,85000,,2630,27
21,0,5501,4820,31
22,113000,5506,1020,50
22,48000,3301,2430,51
21,13000,5200,4040,27
14,86000,,9600,35
16,0,,4720,26
,,,,2
14,7600,,4220,48
20,5700,,4760,51
16,4800,,4110,18
17,87000,,7315,65
19,145000,,5000,61
21,0,3301,,80
21,170000,5098,110,45
22,0,5203,,42
19,0,,,20
19,800,,4620,18
12,,,,14
7,,,,10
2,,,,4
20,45000,,3255,33
5,,,,8
6,,,,8
4,,,,7
4,,,,7
13,90000,,6200,32
20,21000,,2300,41
11,,,,13
,,,,1
16,42000,,5000,48
16,45000,,5000,55
16,0,,5700,34
13,0,,,17
9,,,,12
7,,,,10
2,,,,6
14,1200,,5240,39
14,1600,,5620,18
10,,,,13
16,0,,5220,86
16,0,,,79
16,0,,8920,57
4,,,,8
16,17600,,9415,53
16,0,,6260,51
24,0,3301,,89
23,0,6402,,94
11,10300,,4230,46
